Hue,Saturation,Value
0.792553191,0.393305439,0.937254902
0.959876543,0.830769231,0.764705882
0.584684685,0.880952381,0.823529412
0.916993464,1,1
0.492559524,0.965517241,0.909803922
0.780821918,0.314655172,0.909803922
0.103982301,0.88627451,1
0.583333333,0.8,1
0.806372549,0.266666667,1
0.923529412,0.666666667,1
0.966666667,0.61752988,0.984313725
0.426767677,1,0.258823529
0.082795699,0.756097561,0.803921569
0.162318841,1,0.450980392
0.083333333,1,0.588235294
0,0.745454545,0.647058824
0.076388889,0.672897196,0.419607843
0.056122449,0.56,0.68627451
0.083333333,0.5,0.8
0.45,0.649350649,0.301960784
0.970430108,0.243137255,1
0.506944444,0.094117647,1
0.282352941,0.467032967,0.71372549
0.136363636,0.458333333,0.941176471
0.997474747,0.916666667,0.282352941
0.958333333,1,0.501960784
0.093869732,0.391891892,0.870588235
0.022222222,0.279503106,0.631372549
0.069444444,1,0.8
0.038377193,0.652360515,0.91372549
0.024509804,0.739130435,0.541176471
0.86352657,0.73015873,0.741176471
0.863849765,0.633928571,0.439215686
0.553763441,0.271929825,0.447058824
0.505128205,0.40625,0.62745098
0.569892473,0.176136364,0.690196078
0.426791277,1,0.419607843
0.078125,0.810126582,0.929411765
0.975036711,1,0.890196078
0.160784314,1,1
0.071111111,0.451807229,0.650980392
0.083333333,0.56,0.294117647
0.379432624,0.61038961,0.301960784
0.388888889,0.155440415,0.756862745
0.091085271,0.445595855,0.756862745
0.945512821,0.217573222,0.937254902
0.25308642,0.201492537,0.525490196
0.166666667,0.4,1
0.15620915,1,1
0.005228758,1,1
0.986956522,0.504385965,0.894117647
0.541830065,1,1
0.020467836,0.640449438,0.349019608
0.97188755,0.846938776,0.768627451
0.458333333,1,0.8
0.973333333,1,0.588235294
0.950387597,1,0.843137255
0.009861933,0.719148936,0.921568627
0.963398693,1,1
0.934456929,0.349019608,1
0,0.849162011,0.701960784
0.568,0.592417062,0.82745098
0.091503268,0.860759494,0.929411765
0.455426357,1,0.337254902
0.614035088,0.95,0.470588235
0.965517241,0.517857143,0.439215686
0.022135417,0.63681592,0.788235294
0.62568306,0.29468599,0.811764706
0.342767296,0.235555556,0.882352941
0.543912176,1,0.654901961
0.484313725,0.643939394,0.517647059
0.5,0.301960784,1
0.57037037,0.649038462,0.815686275
0.951830443,0.779279279,0.870588235
0.93220339,0.75,0.925490196
0.543912176,1,0.654901961
0.621621622,0.778947368,0.745098039
0.57751938,0.441025641,0.764705882
0.543434343,1,0.647058824
0.01047619,0.78125,0.878431373
0.071428571,0.4375,0.62745098
0.101626016,0.165991903,0.968627451
0.068627451,0.141078838,0.945098039
0.566666667,0.316455696,0.309803922
0.5,0.186046512,0.168627451
0.944444444,0.37826087,0.901960784
0.187581699,1,1
0.250326797,1,1
0.951830443,0.779279279,0.870588235
0.967592593,0.282352941,1
0.027777778,0.644295302,0.584313725
0.924924925,0.5,0.870588235
0.944444444,0.517857143,0.658823529
0.030952381,0.823529412,0.666666667
0.820833333,0.294117647,0.533333333
0.28496732,1,1
0.085365854,1,0.482352941
0.069444444,0.857142857,0.823529412
0.109150327,1,1
0.034482759,0.190789474,0.596078431
0.013333333,0.77092511,0.890196078
0.069444444,0.857142857,0.823529412
0.95412844,0.531707317,0.803921569
0.151376147,0.956140351,0.894117647
0.179951691,0.816568047,0.662745098
0.953525641,0.818897638,0.498039216
0.904255319,0.187250996,0.984313725
0.597465887,1,0.670588235
0.069444444,0.857142857,0.823529412
0.053030303,0.586666667,0.588235294
0.068452381,0.504504505,0.435294118
0.555555556,0.132743363,0.88627451
0.01312336,0.512096774,0.97254902
0.589225589,1,0.388235294
0.635416667,0.186046512,0.674509804
0.080200501,0.722826087,0.721568627
0.050724638,0.527522936,0.854901961
0.014705882,0.393063584,0.678431373
0.038251366,0.600985222,0.796078431
0,0.333333333,0.6
0.036601307,1,1
0.044761905,0.68627451,1
0.01312336,0.512096774,0.97254902
0,0.749019608,1
0.016317016,0.565217391,0.992156863
0.986486486,0.540145985,0.537254902
0.150843882,0.629482072,0.984313725
0,0.849162011,0.701960784
0.607055961,0.578059072,0.929411765
0.133333333,0.137254902,1
0.668498168,0.669117647,0.533333333
0.118055556,0.094117647,1
0.089371981,0.534883721,0.505882353
0.927860697,0.262745098,1
0.159574468,0.184313725,1
0.966666667,0.909090909,0.862745098
0.956140351,1,0.745098039
0,1,0.6
0,0,0.960784314
0.5,1,1
0.581699346,0.566666667,0.705882353
0.584022039,0.633507853,0.749019608
0.597701149,0.743589744,0.611764706
0.553921569,0.87628866,0.760784314
0.536879433,1,0.921568627
0.729885057,0.467741935,0.48627451
0.137908497,1,1
0.937810945,0.546938776,0.960784314
0.166666667,0.807843137,1
0.153645833,0.8,0.941176471
0.666666667,1,0.545098039
0.666666667,0.333333333,0.6
0.083333333,0.673267327,0.396078431
0.066091954,0.426470588,0.533333333
0.875,0.387096774,0.364705882
0,1,0.643137255
0.580508475,0.936507937,0.494117647
0.026785714,0.368421053,0.596078431
0.026960784,0.663414634,0.803921569
0.5,1,0.545098039
0.572072072,0.308333333,0.470588235
0.11849711,0.940217391,0.721568627
0,0,0.662745098
0.43877551,0.98,0.196078431
0.333333333,1,0.392156863
0.560606061,0.261904762,0.164705882
0.564465409,1,0.415686275
0.64021164,1,0.494117647
0.45,0.277777778,0.141176471
0.154471545,0.433862434,0.741176471
0.075757576,0.305555556,0.282352941
0.751173709,0.473333333,0.588235294
0.916666667,0.096385542,0.325490196
0.034482759,0.345238095,0.329411765
0.833333333,1,0.545098039
0,0,0.662745098
